Series Description,3-month Treasury bill secondary market rate   discount basis
Unit:,Percent:_Per_Year
Multiplier:,1
,
,
Time Period,
2/14/2017,0.54
2/15/2017,0.53
2/16/2017,0.52
2/17/2017,0.52
2/20/2017,ND
2/21/2017,0.53
2/22/2017,0.52
2/23/2017,0.51
2/24/2017,0.51
2/27/2017,0.5
2/28/2017,0.53
3/1/2017,0.62
3/2/2017,0.66
3/3/2017,0.7
3/6/2017,0.73
3/7/2017,0.75
3/8/2017,0.72
3/9/2017,0.72
3/10/2017,0.73
3/13/2017,0.78
3/14/2017,0.77
3/15/2017,0.72
3/16/2017,0.72
3/17/2017,0.72
3/20/2017,0.75
3/21/2017,0.76
3/22/2017,0.76
3/23/2017,0.75
3/24/2017,0.77
3/27/2017,0.77
3/28/2017,0.77
3/29/2017,0.77
3/30/2017,0.77
3/31/2017,0.75
4/3/2017,0.78
4/4/2017,0.78
4/5/2017,0.79
4/6/2017,0.78
4/7/2017,0.81
4/10/2017,0.81
4/11/2017,0.81
4/12/2017,0.8
4/13/2017,0.8
4/14/2017,ND
4/17/2017,0.82
4/18/2017,0.81
4/19/2017,0.8
4/20/2017,0.78
4/21/2017,0.78
4/24/2017,0.8
4/25/2017,0.81
4/26/2017,0.82
4/27/2017,0.8
4/28/2017,0.79
5/1/2017,0.82
5/2/2017,0.81
5/3/2017,0.84
5/4/2017,0.84
5/5/2017,0.88
5/8/2017,0.9
5/9/2017,0.9
5/10/2017,0.89
5/11/2017,0.87
5/12/2017,0.86
5/15/2017,0.89
5/16/2017,0.89
5/17/2017,0.89
5/18/2017,0.91
5/19/2017,0.9
5/22/2017,0.92
5/23/2017,0.91
5/24/2017,0.92
5/25/2017,0.92
5/26/2017,0.92
5/29/2017,ND
5/30/2017,0.92
5/31/2017,0.96
6/1/2017,0.96
6/2/2017,0.96
6/5/2017,0.95
6/6/2017,0.96
6/7/2017,0.98
6/8/2017,0.99
6/9/2017,0.99
6/12/2017,0.97
6/13/2017,0.99
6/14/2017,0.99
6/15/2017,1
6/16/2017,1.01
6/19/2017,1.01
6/20/2017,1
6/21/2017,0.97
6/22/2017,0.94
6/23/2017,0.95
6/26/2017,0.98
6/27/2017,0.99
6/28/2017,1
6/29/2017,1.02
6/30/2017,1.01
7/3/2017,1.04
7/4/2017,ND
7/5/2017,1.03
7/6/2017,1.02
7/7/2017,1.03
7/10/2017,1.03
7/11/2017,1.03
7/12/2017,1.03
7/13/2017,1.03
7/14/2017,1.02
7/17/2017,1.05
7/18/2017,1.05
7/19/2017,1.09
7/20/2017,1.13
7/21/2017,1.14
7/24/2017,1.15
7/25/2017,1.16
7/26/2017,1.11
7/27/2017,1.09
7/28/2017,1.06
7/31/2017,1.05
8/1/2017,1.06
8/2/2017,1.06
8/3/2017,1.06
8/4/2017,1.06
8/7/2017,1.01
8/8/2017,1.04
8/9/2017,1.04
8/10/2017,1.03
8/11/2017,1.01
8/14/2017,1.01
8/15/2017,1.02
8/16/2017,1
8/17/2017,0.98
8/18/2017,1
8/21/2017,0.99
8/22/2017,0.99
8/23/2017,0.98
8/24/2017,1
8/25/2017,1.01
8/28/2017,0.97
8/29/2017,1.01
8/30/2017,1.01
8/31/2017,0.99
9/1/2017,1
9/4/2017,ND
9/5/2017,1.01
9/6/2017,1.05
9/7/2017,1.03
9/8/2017,1.02
9/11/2017,1.04
9/12/2017,1.02
9/13/2017,1.02
9/14/2017,1.03
9/15/2017,1.03
9/18/2017,1.04
9/19/2017,1.03
9/20/2017,1.02
9/21/2017,1.02
9/22/2017,1.01
9/25/2017,1.04
9/26/2017,1.05
9/27/2017,1.05
9/28/2017,1.04
9/29/2017,1.04
10/2/2017,1
10/3/2017,1.05
10/4/2017,1.06
10/5/2017,1.05
10/6/2017,1.05
10/9/2017,ND
10/10/2017,1.06
10/11/2017,1.08
10/12/2017,1.07
10/13/2017,1.07
10/16/2017,1.09
10/17/2017,1.07
10/18/2017,1.07
10/19/2017,1.08
10/20/2017,1.09
10/23/2017,1.08
10/24/2017,1.1
10/25/2017,1.1
10/26/2017,1.09
10/27/2017,1.08
10/30/2017,1.1
10/31/2017,1.13
11/1/2017,1.16
11/2/2017,1.15
11/3/2017,1.16
11/6/2017,1.17
11/7/2017,1.2
11/8/2017,1.21
11/9/2017,1.22
11/10/2017,1.21
11/13/2017,1.22
11/14/2017,1.24
11/15/2017,1.23
