Stock code,avg_expected_return,,,,,,,,,,,,,,,,,,
SBHGF,-0.003504357,,,,,,,,,,,,,,,,,,
CBOE,0.001479593,,,,,,,,,,,,,,,,,,
CME,0.001348491,,,,,,,,,,,,,,,,,,
GBTC,0.013370155,,,,,,,,,,,,,,,,,,
GAHC,0.014939525,,,,,,,,,,,,,,,,,,
GROW,0.004677993,,,,,,,,,,,,,,,,,,
MGTI,0.00949015,,,,,,,,,,,,,,,,,,
RIOT,0.009846035,,,,,,,,,,,,,,,,,,
SQ,0.004680242,,,,,,,,,,,,,,,,,,
STVI,0.003403984,,,,,,,,,,,,,,,,,,
XNET,0.007418859,,,,,,,,,,,,,,,,,,
SRAX,0.004620891,,,,,,,,,,,,,,,,,,
BTLLF,0.009632773,,,,,,,,,,,,,,,,,,
MICT,0.001341788,,,,,,,,,,,,,,,,,,
SSC,0.004739675,,,,,,,,,,,,,,,,,,
HDP,0.002463306,,,,,,,,,,,,,,,,,,
KODK,-0.00058657,,,,,,,,,,,,,,,,,,
OSTK,0.005738329,,,,,,,,,,,,,,,,,,
BTCS,0.323524405,,,,,,,,,,,,,,,,,,
MARA ,0.006842648,,,,,,,,,,,,,,,,,,
